,Name,LineA,LineB,LineC,Concatenated
39,Man , She's an angel. You and you're wife must be thrilled!,,,
40,Cameron ," Sorry, sorry, sorry, Daddy needed snacks. Hi! So, what are we talking about?",,,
41,Mitchell ," We have been together for... five, five years now? And we've decided we really wanted to have a baby... so, we initially asked one of our lesbian friends to be a surrogate.",,,
42,Cameron ," Then we figured, they are already mean enough. Can you imagine one of them pregnant? No, thank you. Ekk... ",,,
43,Mitchell ," You saw that right? Everybody fondling up to Lillian, then you walk on... and suddenly it's all ""Huu..."". I'm gonna give a speech.",,,
44,Cameron , You are not giving a speech ... you gonna stuck with this people for the next five hours!,,,
45,Mitchell ," You're right, it's okay, I'm sorry.",,,
46,Woman ," Honey, look at that baby with those cream puffs.",,,
47,Mitchell ," Okay, excuse me. Excuse me, but this baby would have grown up in a crowded orphanage if it wasn't for us cream puffs ... and you know what, to all of you who judge, hear this, love knows no race...",,,
48,Cameron , Mitchell!,,,
49,Mitchell ," ... creed or gender and shame on you! You small minded, ignorant fe...",,,
50,Cameron , Mitchell!!,,,
51,Mitchell , What?,,,
52,Cameron , She's got the cream puffs.,,,
53,Mitchell , Oh!,,,
54,Cameron , We would like to pay for everyone's headsets.,,,
55,Phil ," Buddy, why do you keep getting stuck like this?",,,
56,Luke , I thought I could get out this time.,,,
57,Alex , I'm just gonna say it... he needs to be checked by a specialist.,,,
58,Phil ," There! Be free, Excalibur!",,,
59,Haley , I'm having a friend over today.,,,
60,Claire , Who?,,,
61,Haley , You don't know him.,,,
62,Claire , Him... Him?,,,
63,Luke ," Oh, a boy! You gonna kiss him?",,,
64,Haley , Shut up!,,,
65,Phil , Easy. Easy.,,,
66,Alex , You don't even...,,,
67,Claire ," Luke, Alex, why don't you take it outside, okay?",,,
68,Alex , And do what? ,,,
69,Phil ," Fighting a son, it would be a nice change. I'm kidding!",,,
70,Claire , Haley! Who's the boy?,,,
71,Haley ," His name is Dylan ... You know, I might as well just tell him not to come, because you guys are just going to embarrass me again.",,,
72,Claire ," Honey! Hang on a second, you're fifteen, it's the first time you've had a boy over. I mean I'm bound to be a little surprised, but... We're not gonna embarrass you!",,,
73,Phil , I'm better go charge the camcorder. I'm kidding! Come on! Who are you talking to?,,,
74,Phil ," I'm a cool dad. That's... that's my thang. I'm hype, I surf the web, I text. LOL, Laugh Out Loud, OMG, Oh My God, WTF, Why The Face. You know, I know all the dances to High School Musical, so...",,,
75,Alex , MOM! DAD!,,,
76,Claire , What happened?,,,
77,Alex , Luke just shot me!,,,
78,Luke , I didn't mean to!,,,
79,Claire , Are you okay?,,,
80,Alex ," No, the little bitch shot me!",,,
81,Claire , Language!,,,
82,Luke , They're only plastic bb's! It was an accident!,,,
83,Claire , What did I tell you what happened if you got him a gun? Deal with this!,,,
84,Phil , Buddy... Uncool.,,,
85,Claire ," That's it? No, no, no, the agreement was that, if he shoots someone ... you shoot him.",,,
86,Phil , We were serious about that?,,,
87,Claire ," Yes, we were and now you have to follow through.",,,
88,Luke , I'm so sorry!,,,
89,Claire , Liar. Go!,,,
90,Phil , But he's got a birthday party.,,,
91,Alex , What's more important here dad?,,,
92,Claire ," You can shoot him afterwards, he'll be home at two. ",,,
93,Phil ," I can't shoot him at two, showing a house at two.",,,
94,Alex , What about three?,,,
95,Claire ," No, he's at a soccer game at three, and then... Oh, we gotta",,,
96,leave for that dinner thing in five. 4 ,, 15.,,
97,Phil ," Yeah, I guess that works for me.",,,
98,Claire ," ""Shoot Luke""",,,
99,Phil ," Sorry dude, it's on the calendar",,,
100,Luke ," Oh, come on!",,,
101,Manny ," I'm quitting soccer, it is a game for children.",,,
102,Gloria ," No, you're not quitting. You would have stopped that goal if you weren't staring at that little girl.",,,
103,Manny ," She is not a girl, She is a woman.",,,
104,Jay ," You know Gloria, that blowup with that other mom, why do you have to do things like that?",,,
105,Gloria ," If someone says something about my family, I'm going to...",,,
106,Jay ," I'm just ... saying you could take it down here a little bit, that's all.",,,
107,Gloria ," Well yeah, coz' that's when you live down here ... but I live up here!",,,
108,Jay ," You don't have to be so emotional all the time, that's all I'm saying! Manny, you're with me on this, right?",,,
109,Manny , I wanna tell Brenda Feldman I love her.,,,
110,Jay ," Oh, for God's sake.",,,
111,Gloria ," Honey, she's 16.",,,
112,Manny ," Oh, it's okay for you to take an older lover?",,,
113,Jay , Hey! Watch it!,,,
114,Manny ," I want to go to the mall where she works. But first we need to get my white shirt, the silk one.",,,
115,Gloria ," Okay, if that's what you really want to do.",,,
116,Jay ," Seriously, not to be the evil stepdad, but if you put on a puffy white shirt and declare your love for a 16 year old, you're gonna be swinging from the flagpole in your puffy white underpants!",,,
117,Manny , Stop the car! ,,,
118,Gloria , Where are you going? You see? You hurt his feelings.,,,
119,Jay ," Well, if it toughens him up a little bit, then ... oh, jeez, he's picking flowers!",,,
120,Gloria ," Manny is very passionate, just like his father. My first husband is very handsome but, too crazy. It seemed like all what we did was, fight and make love, fight and make love, fight and make love. One time, I'm not kidding you, we fell out the window together.",,,
121,Jay , Which one were you doing? I'm hearing this for the first time!,,,
122,Mitchell ," This doesn't worry you? She barely slept in the plane, and she's still wide awake.",,,
123,Cameron ," Oh, stop worrying!",,,
124,Mitchell ," But Cam, That orphanage, it was all women. Maybe she can't fall asleep unless she feels a woman's shape.",,,
125,Cameron , I guess that's possible.,,,
126,Mitchell ," So, here.",,,
127,Cameron , What the hell is that suppose to mean?,,,
128,Cameron ," Yes, I've gained a few extra pounds while we were expecting the baby... which has been very difficult. But, apparently you're body does a nesting, very maternal, primal... thing, were it retains nutrients. Some sort of molecular physiology thing. But that's science, you can't, you can't fight it, so...",,,
129,Mitchell , I'm not saying anything.,,,
130,Cameron , You're saying everything.,,,
131,Mitchell ," Count to three, one, t...",,,
132,Cameron , Three!,,,
133,Mitchell , Okay. Oh Cam!,,,
134,Cameron ," Oh My God, do you love it?",,,
135,Mitchell ," Yes, I... What the hell is that?",,,
136,Cameron , I had Andre do it when we we're gone.,,,
137,Mitchell , Is that us? With wings?,,,
138,Cameron ," We're floating above her, always there to protect her. ",,,
139,Mitchell ," Well, that's reassuring, right Lily? Yeah, we tore you away from everything you know but don't worry, things are normal here. You're fathers are floating fairies! Can you call Andre? Have him paint something a little less... gay? By the way, We need to stop having friends with names like Andre.",,,
140,Cameron , Redheaded dad is angry daddy.,,,
141,Mitchell , No I'm not.,,,
142,Cameron ," Yes, you are. Even Pepper pointed it out on the way home from the airport.",,,
143,Mitchell ," Okay, that's another one, Pepper!",,,
144,Cameron ," Okay, what's up?",,,
145,Mitchell ," Alright, look... I ... I never told my family we were adopting a baby.",,,
146,Cameron , I know.,,,
147,Mitchell , You do?,,,
148,Cameron ," Ya, And I don't blame you, I know your family. You tell them, they say something judgmentally.",,,
149,Mitchell , Exactly!,,,
150,Cameron , You get mad.,,,
151,Mitchell ," I know, and what's supposed to be nothing, but joyful suddenly turns into this huge fight.",,,
152,Cameron , And who wants a big emotional scene like that?,,,
153,Mitchell ," Thank you, I'm so relieved you understand.",,,
154,Cameron , I invited them over for dinner tonight.,,,
155,Mitchell , What?,,,
156,Cameron , I had to! This would have gone on forever. You're an avoider.,,,
157,Mitchell ," No, no! Cam, I'm calling them now, I'm canceling.",,,
158,Cameron ," No, you're not! You're telling your family you've adopted a baby, tonight. And you do have avoiding issues! Even Angelo said so.",,,
159,Mitchell , Are you really not hearing these things?,,,
160,Haley ," Don't answer it, I'll get it!",,,
161,Claire ," Hi! Hey, you must be Dylan.",,,
162,Phil ," Hey, Dylan, yeah. ",,,
163,Claire ,, I'm Haley's mother.,,
164,Haley ," Hey, come on, let's go.",,,
165,Claire , Hang on one second. Dylan... You're still in High School?,,,
166,Dylan ," Yeah, I’m a Senior.",,,
167,Claire ," Phil, sweetie, honey. He is Dylan and he is a Senior.",,,
168,Phil ," Let me meet this playa. Phil Dunphy, jo!",,,
169,Phil ," It's like that, you just start down on him and let the eyes do",,,
170,the work. You're mouth might be saying ," Hey, we cool! But you're",,,
171,eyes are like ," No, we not! Nice to meet you! No, it's not! It's all good? No, it's ...",,,
172,Dylan , Jo.,,,
173,Haley ," Okay, I've seen two guys",,,
174,Phil ," Wait You two ... two keep it real? You know what I mean, son?",,,
175,Dylan , Not really.,,,
176,Haley , Please stop.,,,
177,Phil ," That's cool! Oh, God, That's my back!",,,
178,Claire , Sweetheart.,,,
179,Phil ," Oh, oh, I slipped in the baby oil.",,,
180,Phil ," Ooh, where you from originally? I could defeat you if it came to a physical confrontation.",,,
181,Claire ," I don't know about this, shall I call a doctor?",,,
182,Phil ," No, no, no. You're very strong homs'",,,
183,Dylan , Thanks.,,,
184,Phil ," Okay, nice, nice soft landing. Okay, I am on my side though, so flip me right back and we're good. We'll be good. Just need to get flipped right on my back, and we should be fine, so.",,,
185,Manny , Brenda Feldman.,,,
186,Gloria , What is that?,,,
187,Manny , A poem I’ve written for Brenda Feldman.,,,
188,Jay , Of course that is. ,,,
189,Manny ," I put my thoughts into words, and now my words into action!",,,
190,Jay ," Ey, I give you 50 bucks not to do this.",,,
191,Manny ," I'm eleven years old, what am I gonna do with money?",,,
192,Jay , What are you gonna do with a sixteen year old?,,,
193,Gloria , It's like a bullfight!,,,
194,Jay , Ever seen a bullfight? I can't watch this.,,,
195,Gloria ," You're in such a bad mood. And I know why, It's because that man thought you were my father.",,,
196,Jay , No.,,,
197,Gloria , Yes.,,,
198,Jay , No.,,,
199,Gloria ," When you say no like that, it's always yes. Come on, we're in the mall, let's get you like some younger clothes ... there's a store there that I know...",,,
200,Jay , I don't need any younger clothes! And I don't care what some jackass in a pair of ripped jeans thinks about me.,,,
201,Gloria ," Good, you shouldn't. You should only care what I think. I love you, and I don't care how old you are. So stop being an gloomygoos, and stop being so hard on Manny.",,,
202,Jay , The only reason I'm hard on Manny is just because I don't wanna see him make a fool of himself. And I can smell that hair goo of his from here!,,,
203,Gloria ," Look, I don't know what's gonna happen to him over there but you're his family now. And that means only one thing. You be there winning his back, not to spit in his face!",,,
204,Jay , What?,,,
205,Gloria ," Something my mom always says, it's gorgeous in Spanish. Look, he's there.",,,
206,Manny , She has a boyfriend.,,,
207,Gloria ," OHH, I'm sorry, mi nino.",,,
208,Manny ," I gave her my heart. She gave me a picture of me as an old time sheriff. That was pretty stupid of me, wasn't it?",,,
209,Gloria ," No mi amore, It was brave, right Jay? Brave.",,,
210,Jay , I.. b... you'll know better next time. Come on! Let's get a pretzel. ,,,
211,Security guard ," Oh, excuse me, sir? We asked all mall-walkers to stay to the right.",,,
212,Haley ," Alex, get out! MOM!",,,
213,Claire ," Alex, leave your sister alone!",,,
214,Alex ," I was just getting my book, gosh!",,,
215,Claire ," I know sweetie, but you need to respect her privacy. What are they doing up there?",,,
216,Alex ," Nothing, lying in her bed, watching a movie.",,,
217,Claire ," Okay... Okay... I'm making a cake for tonight, you wanna help me with the frosting?",,,
218,Alex ," Sure. So, you know if Haley got pregnant, would you ever pretend she has mono for a few months and then like tell everyone the baby's yours?",,,
219,Claire , What?,,,
220,Alex ," That senior at school was out sick for like four months, but Terna Wristniks says she was out breastfeeding in a cleanup carwash.",,,
221,Phil ," Buddy, what are you wearing?",,,
222,Luke , Nothing.,,,
223,Phil ," No jacket, one hat. How many pairs of underwear do you have on?",,,
224,Luke , One ... Six.,,,
225,Alex ," First of all, it would be really cool to see Haley that fat, and how awesome would it be to have a fake little brother who's really my nephew.",,,
226,Claire , Haley is not getting pregnant!,,,
227,Alex , I'm just saying if.,,,
228,Claire ," I know, and I know you like to make trouble for your sister but it's not gonna work this time. You know why? 'Cause your sister is a good girl. I know, I was just like her when I was...",,,
229,Phil ," I want you to know, I'm not enjoying this. This is an important lesson that you're leaning, so. It's all good, keep it... ",,,
230,Luke ," You're to close, it's gonna hurt.",,,
231,Phil , It's supposed to hurt!,,,
232,Luke , And why are you smiling?,,,
233,Phil ," I'm... What? Oh, forget it. I can't do this. The point is, you're scared. I think you've learned your lesson.",,,
234,Luke , Awww!,,,
235,Haley , Mom?! What are you doing?,,,
236,Claire ," Hey, I was just dropping off some laundry, This is a bad time?",,,
237,Haley , Yeah...,,,
238,Claire ," Oh, okay.",,,
239,Haley , Can you shut the door please?,,,
240,Claire , Actually we're just gonna go ahead and leave that open.,,,
241,Haley , Why?,,,
242,Claire ,," Lying on the bed with a tall, senior. one minute you're just friends, watching Falcon Crest, and the next you're lying underneath the air-hockey table with your bra un-pocket!",,
243,Haley , Mom!,,,
244,Luke , You hit my bone!,,,
245,Phil , It was an accident!,,,
246,Luke , I thought we were friends!,,,
247,Phil , I am your friend!,,,
248,Haley ," Dad?! Dad, you have got to talk to mom, she is like completely freaking out and embarrassing me.",,,
249,Phil ," Well, honey, you're mom isn't always as cool about things as I... What is with this thing!",,,
250,Mitchell ," My dad, ehm, my dad isn't completely comfortable with this, ehm, he still does this thing. It's been five years now. And he still does this thing where he announces himself before walking into any room were in. Just to make sure he doesn't have to ever see us kiss.",,,
251,Cameron , Wish my mother had that system. Remember? ,,,
252,Mitchell , Not now.,,,
253,Mitchell , I still can't believe you did this to me!,,,
254,Cameron , Would you get in the spirit of things! It's a celebration!,,,
255,Mitchell , Oh God.,,,
256,Cameron ," Okay, I'm gonna go get Lily ready, and I want you to just come straight out with it,",,,
257,Mitchell , Alright.,,,
258,Cameron ," You can do this! Sportsguy-chest-bump,",,,
259,Mitchell , No.,,,
260,Cameron , Sportsguy-chest-bump!,,,
261,Mitchell ," Cam. Do it, GO!",,,
262,Mitchell ," Heey, how are you? Hi guys! Well thank you, thanks.",,,
263,Claire ," Oh Don't thank us open it, dad is coming right behind.",,,
264,Jay ," Knock, knock, we're here! Coming in!",,,
265,Mitchell ," Don't worry dad, nothing gay going on here. May I take you're multicolored coat and you're bejeweled cap?",,,
266,Jay , Yeah.,,,
267,Phil , Hey Jay.,,,
268,Claire ," Gloria, hi! How are you?",,,
269,Phil ," Hi Gloria, how are you? What a beautiful dress!",,,
270,Gloria ," Thank you, Phil! Oh, Okay.",,,
271,Claire ," Phil! She said Phil, not feel!",,,
272,Jay , So how was you're trip?,,,
273,Mitchell ," It was good, it was good actually but...about that I have something that I need to tell you guys. We didn't just go to Vietnam for pleasure. We, kinda have some big news.",,,
274,Jay ," Oh, God, if Cam comes out here with boobs, I'm leaving!",,,
275,Claire , Dad!,,,
276,Haley ," I hope he didn't embarrass you, mom.",,,
277,Claire ," Don't mind her, Haley had her first boy over today, and Phil shot him.",,,
278,Mitchell ," Anyway, so about a year ago. Cam and I sort of feeling this longing for something more...like, maybe a baby.",,,
279,Jay ," Woooh, that's a bad idea. ",,,
280,Mitchell ," What do you mean, bad idea?",,,
281,Jay ," Well, kids need a mother! I mean, if you two guys are bored, get a dog!",,,
282,Mitchell ," We're not bored, dad!",,,
283,Gloria ," I support you Mitchell, and though you're not my son",,,
284,Claire ," I, I think what dad is trying to say is that, Mitchell you're a little uptight, kids bring chaos and you don't handle well.",,,
285,Mitchell ," Oh, That's not what dad is saying . That's what you're saying. And it's insulting in an whole different way.",,,
286,Phil ," Okay, people, let's all chillax!",,,
287,Alex , Hey! Where's uncle Cameron?,,,
288,Mitchell ," Finally, thank you, someone who's not insulting me, notices he's not here.",,,
289,Jay ," Oh! So, that's the big announcement. You two broke up. Well a baby wasn't gonna help that anyway! And you know? Let me tell you, your'll be better of, because he was a bit of a drama queen.",,,
290,Mitchell ," No, no, no! Stop, stop! You come into my house and you insult me and my boyfriend who by the way is not that dramatic! We've adopted a baby. Her name is Lily.",,,
291,Cameron , Exciting!,,,
292,Mitchell , Just turn it off.,,,
293,Cameron ," I can't turn it off, it's who I am!",,,
294,Mitchell , The music!,,,
295,Cameron ," Oh, yes, the music. Come, say hello Lily.",,,
296,Haley ," Oh, she's so cute!",,,
297,Phil , Let me see her. Hi Lily. Lily? Isn't that gonna be hard for her to say? No?,,,
298,Jay ," Excuse me... Okay, I, I know that I said I thought this was a bad idea. But... What do I know? I mean, It's not like I wrote the book on fatherhood. I've been trying all my life to get it right, i'm still screwing up. Right, Manny?",,,
299,Manny , I wrote a song about it in the car.,,,
300,Jay ," Of course you did. Anyway, I'm happy for you! And you should know that... I'm not here to spit in your face, I'm here to  blow at your back. It's supposed to sound better in Spanish. Anyhow, Mitch...",,,
301,Mitchell ," No, dad, it's... I got it, I got it.",,,
302,Claire , She want's her daddy.,,,
303,Mitchell , Do you wanna meet grandpa?,,,
304,Jay ," You're kidding? She's one of us now, Let me see that little pot sticker! Hey, you're a cutie, aren't you!",,,
305,Jay ," We're from different worlds. Yet we somehow fit together. Love is what's binds us. Through fair, or stormy weather. I stand before you now with only one agenda To let you know my heart is yours. Feldman, coma, Brenda I mean seriously!",,,
306,Phil ," Luke, so far, he hasn't beaten me at basketball.",,,
307,Phil , It's 2-0. Get that! Will you step out of my kitchen! Could you just do me a favor and just grab... How's the weather down there?,,,
308,Phil ," But, when the day comes that he does win, if, you know, if when...he beats me. I'm just gonna be like, ""well done! Well done!"" Just let him, just support him. In that kind of stuff. I'm probably just wanna go like, 2 out of 3, and just see what happens there, but...   Modern Family",,,
309,Jay," What's the key to being a great dad?""That's a tough one.",,,
310,Cameron, Giving them the freedom to be whatever they want to be.,,,
311,Mitchell," Exactly, and...",,,
312,Cameron," Whether that's a painter, a poet,a pilot, a president...",,,
313,Mitchell," And for us, what we're gonna...",,,
314,Cameron, .... of a company or of a country.,,,
315,Mitchell, Patience.,,,
316,Phil," Well, be their buddy.",,,
317,Claire, That's your answer?,,,
318,Phil, And stay in school.And don't do drugs. Just give me the answer.,,,
319,Claire," Oh, God.",,,
320,Jay, Still thinking.,,,
321,Claire," This is my husband, Phil.And that's my son, Luke,right there.This is...",,,
322,Desiree, Desiree.,,,
323,Claire," Desiree, right. Sorry. Desiree just moved in down the block.",,,
324,Phil, Fun. Where?,,,
325,Desiree, 314.,,,
326,Phil, The two-bedroom cottage with the indoor/outdoor family room.,,,
327,Desiree, Very good. How did you...,,,
328,Phil, Bet you're loving that steam shower.,,,
329,Claire, That's creepy.,,,
330,Phil," Oh, sorry. I'm a real-estate mogul. What?! No, I am a realestate agent. We caravanned that house.Great deck.",,,
331,Desiree, Thanks. I'm just there till my divorce is final.,,,
332,Phil," Now, who is conuts enough to divorce you?",,,
333,Claire," We got to go, but we'll see you around.",,,
334,Phil, We'll have to have you over sometime.,,,
335,Desiree, I'd love it.,,,
336,Phil, She's awesome. ,,,
337,Claire, We are never having her over.I heard she already slept with two dads from the school.,,,
338,Phil, What? That's... horrible.,,,
339,Luke, Dad! Watch out.,,,
340,Phil," Watch it, buddy.",,,
341,Luke, Grandma.,,,
342,Phil, I'm sorry. That still looks like a girl's bike.,,,
343,Claire, We'll add more black tape.,,,
344,Phil, My son has been riding his sister's old bike.,,,
345,Claire, Until he's responsible enough to take care of his own bike.He spilled a soda on my computer.He ruined our digital camera taking pictures of himself underwater.,,,
346,Phil," It's a girl's bike. I'm all for teaching him a lesson,but I worry about the ridicule he might get from some loudmouth bully.",,,
347,Jay," Nice bike, Sally.",,,
348,Claire, Dad!,,,
349,Jay, He looks like Little Bo Peep.,,,
350,Phil," Actually, not for long.He's getting a new bike this afternoon",,,
351,Luke, I am?,,,
352,Claire, He is ?,,,
353,Phil, Sometimes a man's gotta put his foot down and do what a man's gotta do.And if the old lady don't like it... Honey?... that's too damn bad.,,,
354,Mitchell," Yes! Who's excited, huh? Cam, hurry up. We're gonna be late.",,,
355,Cam," It's a toddler play class, not a flight to Cabo.",,,
356,Mitchell," We're gonna be judged as the only gay parents. I don't want to be late, too.Paisley and pink. Was there something wrong with the fishnet tank top?",,,
357,Cam, Obviously not. I'm wearing it underneath. Kidding.,,,
358,Mitchell," Just chill, please. I'm sorry. I just want to make a good first impression.",,,
359,Cam, You mean you want to fit in and not terrify the villagers?  ,,,
360,Mitchell," Today is about Lily, all right? Her future best friend might be in that class, and I don't want to rub anyone the wrong way.Can you please just... change your shirt?",,,
361,Cam," Fine. You know what? I'll just go put on a pair of khakis, a polo shirt, and everybody will think we're a couple straight golfing buddies who just decided to have a kid together.",,,
362,Jay," I called that place in Napa and got us upgraded to a villa with a hot tub, so pack whatever you wear in a hot tub.",,,
363,Gloria, I usually wear nothing when I'm in a hot tub.,,,
364,Jay, And my college roommate's wife just had to get a new hip. Sucker.,,,
365,Gloria," Manny's father is taking him for a couple of days to Disneyland, so we're gonna go...to the wine country! We're gonna drink some wine, eat some good food.",,,
366,Jay, We would do something like this a lot more often if it wasn't for Manny.,,,
367,Gloria, It's good.He keeps us grounded.,,,
368,Jay, Like fog at airport.,,,
369,Jay,,"00. I thought I'd go to the club, hit a few balls.",,
370,Gloria, What about the fan in Manny's room?,,,
371,Jay, Call a guy.,,,
372,Gloria," No! You're supposed to do it with him. It's important that we teach him how to do things for himself. In my culture, men take great pride in doing physical labor.",,,
373,Jay, That's why I hire people from your culture.,,,
374,Gloria, You're too funny! I'll share that one with my next husband when we're spending all your money.,,,
375,Luke," Dad, this is the coolest bike ever.",,,
376,Phil," Awesome. So, listen, buddy. Certains members of this family don't think you can take care of this bad boy.",,,
377,Luke, You mean mom?,,,
378,Phil," Your words, not mine.Look, your mom and I are a team, and she... we feel like this is a chance for you to show some responsibility. Don't make us look like jerks here.",,,
379,Luke, I won't. ,,,
380,Phil, One more rule.,,,
381,Luke, What?,,,
382,Phil," Have, like, three buttloads of fun.",,,
383,Luke," Thanks, Dad.",,,
384,Jay," So, let's do this.",,,
385,Manny,,00.That's when my dad's picking me up.,,
386,Jay,,"00, I'm gonna tie a noose on this thing.",,
387,Gloria," In Colombia, there's a saying.If you have two stubborn burros that don't like each other, you tie them to the same cart.The ceiling fan is the cart.",,,
388,Manny," My dad's taking me on Space Mountain.It's supposed to be really fast, but he's not scared of anything.He doesn't even wear a seat belt when he drives.",,,
389,Jay, How about that?,,,
390,Manny, He killed a bear once.,,,
391,Jay, Was the bear in the passenger seat? Read me the instructions.,,,
392,Manny," ""Safety tips. Warning. To avoid electrical shock...""",,,
393,Jay, We can skip that.,,,
394,Manny," ""Failure to heed these warnings can lead to serious injury or death...""",,,
395,Jay, You worry too much. You know that. Nobody's gonna get shocked.,,,
396,Manny," One time, my dad was struck by lightning. That's why he can drink as much as he wants.",,,
397,Jay," Manny thinks his dad is like Superman. The truth? He's a total flake. In fact, the only way he's like Superman is that they both landed in this country illegally.",,,
398,Mitchell, I'm so nervous.,,,
399,Cam, They're gonna love us.Let's just be ourselves.,,,
400,Mitchell," Or a slightly toned-down version of ourselves. I just don't want this to become an episode of ""The Cam Show.""",,,
401,Cam," People love ""The Cam Show."" You do.",,,
402,Mitchell," Yes, I do watch it.",,,
403,Cam, It's appointment viewing.,,,
404,The teacher, Hi! Are you here for toddler time? ,,,
405,Mitchell," Yes, I'm Mitchell, this is Cameron,and this here is Lily.",,,
406,The teacher, Welcome. We're all over here taking turns blowing bubbles.,,,
407,Cam," Well, how nice for...the babies. This is gonna be really difficult.",,,
408,Phil," 10 minutes after making a promise to me, he leaves his bike unlocked. All I can hear is Claire's voice in my head. ""He's not responsible. You never should have given him a bike."" I know. I do a pretty good Claire. So I decided to teach him a lesson and let him think his bike was stolen. I know that sounds kind of rough, but sometimes it's a dad's job to be the tough guy. Excuse me. Thank you. On your left.My left, your right.",,,
409,The teacher," Everyone, we have a new family join us today.",,,
410,Mitchell," I'm Mitchell, and I am a lawyer.",,,
411,Cameron," I'm Cameron, and I'm currently not working, which gives me more time to grill and shoot baskets,and...",,,
412,Mitchell, And this is Lily.,,,
413,The teacher," We're gonna start with the hello dance, and then we're gonna move on to blocks and finger painting, and then we're gonna do our family dance. All right, who wants to start us off? Dance us in, P.J.!",,,
414,Tyler's mother, She's adorable.,,,
415,Mitchell," Oh, thank you.",,,
416,Tyler's mother, 7 months?,,,
417,Mitchell, 8.,,,
418,Tyler's mother, Is she grabbing or scooting yet?,,,
419,Mitchell," Yes, absolutely. I mean, when she's not grabbing, she is scootin'.",,,
420,The teacher," Dance us in, Tyler!",,,
421,Tyler's mother," Are you ready? Okay, here we go!",,,
422,Mitchell," Cam, Lily is not grabbing or scooting yet.",,,
423,Cam," Well, she's not doing it yet, but she will eventually.",,,
424,Mitchell," No, a lot of these other kids,they're... they're grabbing. Here, Lily, look at the block. Grab the block, Lily. Grab the ""H.""",,,
425,The teacher,"Dance us in, Lily! ",,,
426,Cam," I got this.Yes, I know. Tamp down my natural gifts and dance like a straight guy.",,,
427,Mitchell, No slapping your own butt.,,,
428,Cam, But that's how I make my horsey go.,,,
429,The teacher, Thank you.,,,
430,Mitchell, That was very good.,,,
431,Cam, I feel dirty.,,,
432,Desiree," This is really embarrassing, but I locked myself out of my house.",,,
433,Phil, I do it all the time.Don't be embarrassed.,,,
434,Desiree," I was hoping you could help me. There's a window open, but I can't reach it. Would you mind?",,,
435,Phil," Sure. Of course. You know what they say. Every time God closes a door, he opens a window. Or I guess in this case, every time he locks you out. Okay, what do we got here?",,,
436,Phil, Am I attracted to her? Yes. Would I ever act on it? No. No way. Not while my wife is still alive.,,,
437,Desiree, Are you sure I can't get you something to drink?,,,
438,Phil," I'm fine, really.",,,
439,Desiree," If I knew a man was gonna climb into my bedroom window, I'd have cleaned up.",,,
440,Phil," Are you kidding me? It smelled great in there,like lotions and oils. For... dry skin and, you know, calloused hands.",,,
441,Desiree," Yeah, it's a candle.What's wrong?",,,
442,Phil, The bike's gone.,,,
443,Desiree, Can I help you find it?,,,
444,Phil, That's all right. Thank you.,,,
